Node_ID,Class,Archetype,GCN_Top_Edge_Weight,GAT_Top_Edge_Weight
1695,Theory,Slam_Dunk,0.8851,0.7695
94,Theory,Mistake,0.7931,0.6229
2330,Theory,Lucky_Guess,0.8798,0.8828
88,Theory,Heterophily_Hub,0.6677,0.6417
3,Theory,Isolated,0.8823,0.8822
1781,RL,Slam_Dunk,0.8659,0.6539
876,RL,Mistake,0.7567,0.1891
2257,RL,Lucky_Guess,0.8803,0.6009
306,RL,Heterophily_Hub,0.3609,0.6775
54,RL,Isolated,0.789,0.8816
1627,Gen_Algos,Slam_Dunk,0.8058,0.214
672,Gen_Algos,Mistake,0.8829,0.8505
1444,Gen_Algos,Lucky_Guess,0.6636,0.3962
1072,Gen_Algos,Heterophily_Hub,0.6038,0.5769
9,Gen_Algos,Isolated,0.8704,0.8858
1704,Neural_Nets,Slam_Dunk,0.8537,0.5933
554,Neural_Nets,Mistake,0.6771,0.8148
4,Neural_Nets,Lucky_Guess,0.8451,0.8841
1986,Neural_Nets,Heterophily_Hub,0.4218,0.6618
7,Neural_Nets,Isolated,0.8791,0.8759
1522,Prob_Methods,Slam_Dunk,0.8739,0.1259
2034,Prob_Methods,Mistake,0.8475,0.5846
1785,Prob_Methods,Lucky_Guess,0.8673,0.7053
55,Prob_Methods,Heterophily_Hub,0.8785,0.7551
29,Prob_Methods,Isolated,0.8843,0.1294
1650,Case_Based,Slam_Dunk,0.6829,0.4563
628,Case_Based,Mistake,0.8268,0.7767
2150,Case_Based,Lucky_Guess,0.871,0.8832
973,Case_Based,Heterophily_Hub,0.7165,0.7395
47,Case_Based,Isolated,0.8854,0.1367
1328,Rule_Learning,Slam_Dunk,0.8808,0.1523
993,Rule_Learning,Mistake,0.8875,0.1304
2165,Rule_Learning,Lucky_Guess,0.8736,0.8699
118,Rule_Learning,Heterophily_Hub,0.8271,0.5865
23,Rule_Learning,Isolated,0.881,0.8833
