node_id,true_label,Topic_Name,Paper_Title
0,3,Neural Networks,Neural Networks Study (Node #0)
1,4,Probabilistic Methods,Probabilistic Methods Study (Node #1)
2,4,Probabilistic Methods,Probabilistic Methods Study (Node #2)
3,0,Theory,Theory Study (Node #3)
4,3,Neural Networks,Neural Networks Study (Node #4)
5,2,Genetic Algorithms,Genetic Algorithms Study (Node #5)
6,0,Theory,Theory Study (Node #6)
7,3,Neural Networks,Neural Networks Study (Node #7)
8,3,Neural Networks,Neural Networks Study (Node #8)
9,2,Genetic Algorithms,Genetic Algorithms Study (Node #9)
10,0,Theory,Theory Study (Node #10)
11,0,Theory,Theory Study (Node #11)
12,4,Probabilistic Methods,Probabilistic Methods Study (Node #12)
13,3,Neural Networks,Neural Networks Study (Node #13)
14,3,Neural Networks,Neural Networks Study (Node #14)
15,3,Neural Networks,Neural Networks Study (Node #15)
16,2,Genetic Algorithms,Genetic Algorithms Study (Node #16)
17,3,Neural Networks,Neural Networks Study (Node #17)
18,1,Reinforcement Learning,Reinforcement Learning Study (Node #18)
19,3,Neural Networks,Neural Networks Study (Node #19)
20,5,Case Based,Case Based Study (Node #20)
21,3,Neural Networks,Neural Networks Study (Node #21)
22,4,Probabilistic Methods,Probabilistic Methods Study (Node #22)
23,6,Rule Learning,Rule Learning Study (Node #23)
24,3,Neural Networks,Neural Networks Study (Node #24)
25,3,Neural Networks,Neural Networks Study (Node #25)
26,6,Rule Learning,Rule Learning Study (Node #26)
27,3,Neural Networks,Neural Networks Study (Node #27)
28,2,Genetic Algorithms,Genetic Algorithms Study (Node #28)
29,4,Probabilistic Methods,Probabilistic Methods Study (Node #29)
30,3,Neural Networks,Neural Networks Study (Node #30)
31,6,Rule Learning,Rule Learning Study (Node #31)
32,0,Theory,Theory Study (Node #32)
33,4,Probabilistic Methods,Probabilistic Methods Study (Node #33)
34,2,Genetic Algorithms,Genetic Algorithms Study (Node #34)
35,0,Theory,Theory Study (Node #35)
36,1,Reinforcement Learning,Reinforcement Learning Study (Node #36)
37,5,Case Based,Case Based Study (Node #37)
38,4,Probabilistic Methods,Probabilistic Methods Study (Node #38)
39,4,Probabilistic Methods,Probabilistic Methods Study (Node #39)
40,3,Neural Networks,Neural Networks Study (Node #40)
41,6,Rule Learning,Rule Learning Study (Node #41)
42,6,Rule Learning,Rule Learning Study (Node #42)
43,4,Probabilistic Methods,Probabilistic Methods Study (Node #43)
44,3,Neural Networks,Neural Networks Study (Node #44)
45,3,Neural Networks,Neural Networks Study (Node #45)
46,2,Genetic Algorithms,Genetic Algorithms Study (Node #46)
47,5,Case Based,Case Based Study (Node #47)
48,3,Neural Networks,Neural Networks Study (Node #48)
49,4,Probabilistic Methods,Probabilistic Methods Study (Node #49)
50,5,Case Based,Case Based Study (Node #50)
51,3,Neural Networks,Neural Networks Study (Node #51)
52,0,Theory,Theory Study (Node #52)
53,2,Genetic Algorithms,Genetic Algorithms Study (Node #53)
54,1,Reinforcement Learning,Reinforcement Learning Study (Node #54)
55,4,Probabilistic Methods,Probabilistic Methods Study (Node #55)
56,6,Rule Learning,Rule Learning Study (Node #56)
57,3,Neural Networks,Neural Networks Study (Node #57)
58,2,Genetic Algorithms,Genetic Algorithms Study (Node #58)
59,2,Genetic Algorithms,Genetic Algorithms Study (Node #59)
60,0,Theory,Theory Study (Node #60)
61,0,Theory,Theory Study (Node #61)
62,0,Theory,Theory Study (Node #62)
63,4,Probabilistic Methods,Probabilistic Methods Study (Node #63)
64,2,Genetic Algorithms,Genetic Algorithms Study (Node #64)
65,0,Theory,Theory Study (Node #65)
66,4,Probabilistic Methods,Probabilistic Methods Study (Node #66)
67,5,Case Based,Case Based Study (Node #67)
68,2,Genetic Algorithms,Genetic Algorithms Study (Node #68)
69,6,Rule Learning,Rule Learning Study (Node #69)
70,5,Case Based,Case Based Study (Node #70)
71,2,Genetic Algorithms,Genetic Algorithms Study (Node #71)
72,2,Genetic Algorithms,Genetic Algorithms Study (Node #72)
73,2,Genetic Algorithms,Genetic Algorithms Study (Node #73)
74,0,Theory,Theory Study (Node #74)
75,4,Probabilistic Methods,Probabilistic Methods Study (Node #75)
76,5,Case Based,Case Based Study (Node #76)
77,6,Rule Learning,Rule Learning Study (Node #77)
78,4,Probabilistic Methods,Probabilistic Methods Study (Node #78)
79,0,Theory,Theory Study (Node #79)
80,0,Theory,Theory Study (Node #80)
81,0,Theory,Theory Study (Node #81)
82,4,Probabilistic Methods,Probabilistic Methods Study (Node #82)
83,2,Genetic Algorithms,Genetic Algorithms Study (Node #83)
84,4,Probabilistic Methods,Probabilistic Methods Study (Node #84)
85,1,Reinforcement Learning,Reinforcement Learning Study (Node #85)
86,4,Probabilistic Methods,Probabilistic Methods Study (Node #86)
87,6,Rule Learning,Rule Learning Study (Node #87)
88,0,Theory,Theory Study (Node #88)
89,4,Probabilistic Methods,Probabilistic Methods Study (Node #89)
90,2,Genetic Algorithms,Genetic Algorithms Study (Node #90)
91,4,Probabilistic Methods,Probabilistic Methods Study (Node #91)
92,6,Rule Learning,Rule Learning Study (Node #92)
93,6,Rule Learning,Rule Learning Study (Node #93)
94,0,Theory,Theory Study (Node #94)
95,0,Theory,Theory Study (Node #95)
96,6,Rule Learning,Rule Learning Study (Node #96)
97,5,Case Based,Case Based Study (Node #97)
98,0,Theory,Theory Study (Node #98)
99,6,Rule Learning,Rule Learning Study (Node #99)
100,0,Theory,Theory Study (Node #100)
101,2,Genetic Algorithms,Genetic Algorithms Study (Node #101)
102,1,Reinforcement Learning,Reinforcement Learning Study (Node #102)
103,1,Reinforcement Learning,Reinforcement Learning Study (Node #103)
104,1,Reinforcement Learning,Reinforcement Learning Study (Node #104)
105,2,Genetic Algorithms,Genetic Algorithms Study (Node #105)
106,6,Rule Learning,Rule Learning Study (Node #106)
107,5,Case Based,Case Based Study (Node #107)
108,6,Rule Learning,Rule Learning Study (Node #108)
109,1,Reinforcement Learning,Reinforcement Learning Study (Node #109)
110,2,Genetic Algorithms,Genetic Algorithms Study (Node #110)
111,2,Genetic Algorithms,Genetic Algorithms Study (Node #111)
112,1,Reinforcement Learning,Reinforcement Learning Study (Node #112)
113,5,Case Based,Case Based Study (Node #113)
114,5,Case Based,Case Based Study (Node #114)
115,5,Case Based,Case Based Study (Node #115)
116,6,Rule Learning,Rule Learning Study (Node #116)
117,5,Case Based,Case Based Study (Node #117)
118,6,Rule Learning,Rule Learning Study (Node #118)
119,5,Case Based,Case Based Study (Node #119)
120,5,Case Based,Case Based Study (Node #120)
121,1,Reinforcement Learning,Reinforcement Learning Study (Node #121)
122,6,Rule Learning,Rule Learning Study (Node #122)
123,6,Rule Learning,Rule Learning Study (Node #123)
124,1,Reinforcement Learning,Reinforcement Learning Study (Node #124)
125,5,Case Based,Case Based Study (Node #125)
126,1,Reinforcement Learning,Reinforcement Learning Study (Node #126)
127,6,Rule Learning,Rule Learning Study (Node #127)
128,5,Case Based,Case Based Study (Node #128)
129,5,Case Based,Case Based Study (Node #129)
130,5,Case Based,Case Based Study (Node #130)
131,1,Reinforcement Learning,Reinforcement Learning Study (Node #131)
132,5,Case Based,Case Based Study (Node #132)
