lr,h_dim,dropout,K (Hops),alpha,test_acc,test_f1
0.01,64,0.7,10,0.2,0.9003690036900369,0.8878698575991983
0.01,64,0.3,10,0.1,0.9003690036900369,0.8856504320057784
0.01,64,0.7,10,0.1,0.9003690036900369,0.8852048233692429
0.01,32,0.5,10,0.1,0.8966789667896679,0.8837248868117106
0.01,32,0.5,20,0.2,0.9003690036900369,0.8835104996799666
0.01,64,0.5,10,0.2,0.9003690036900369,0.8833657493968535
0.01,64,0.5,20,0.1,0.8966789667896679,0.8821575475988045
0.01,64,0.5,10,0.1,0.8966789667896679,0.8821575475988045
0.01,32,0.5,20,0.1,0.8966789667896679,0.8821575475988045
0.01,32,0.3,20,0.1,0.8966789667896679,0.8814382149619722
0.01,16,0.3,10,0.2,0.8966789667896679,0.8809475721076895
0.01,64,0.7,20,0.1,0.8966789667896679,0.8803458631276213
0.01,64,0.5,20,0.2,0.9003690036900369,0.8802326991734593
0.01,64,0.7,20,0.2,0.8966789667896679,0.8798858095668158
0.005,64,0.3,20,0.2,0.8966789667896679,0.8757301567120452
0.01,64,0.3,20,0.2,0.8966789667896679,0.8756803298847066
0.01,64,0.3,20,0.1,0.8929889298892989,0.8753380511741665
0.01,32,0.3,10,0.1,0.8929889298892989,0.8749355702339183
0.01,32,0.3,10,0.2,0.8966789667896679,0.8747926601229642
0.005,64,0.5,20,0.2,0.8929889298892989,0.8734740555793578
0.01,16,0.3,10,0.1,0.8929889298892989,0.8730080153777434
0.01,64,0.3,10,0.2,0.8966789667896679,0.8728377294246713
0.005,64,0.3,10,0.2,0.8929889298892989,0.8668052911593611
0.005,64,0.5,20,0.1,0.8892988929889298,0.8666740186894958
0.005,64,0.5,10,0.1,0.8856088560885609,0.8658501561679699
0.01,32,0.3,20,0.2,0.8892988929889298,0.8628626476989832
0.01,16,0.5,20,0.2,0.8856088560885609,0.8626822328421128
0.01,32,0.5,10,0.2,0.8856088560885609,0.860031572587323
0.01,32,0.7,10,0.1,0.8819188191881919,0.8589953671049971
0.005,64,0.3,10,0.1,0.8819188191881919,0.8588697792139319
0.01,32,0.7,10,0.2,0.8819188191881919,0.8567476825610002
0.005,64,0.3,20,0.1,0.8782287822878229,0.8557014384679232
0.01,32,0.7,20,0.2,0.8819188191881919,0.8554839362522743
0.01,16,0.3,20,0.2,0.8856088560885609,0.8541608600989509
0.01,16,0.3,20,0.1,0.8745387453874539,0.8508068074333135
0.01,32,0.7,20,0.1,0.8745387453874539,0.8484723639223993
0.005,64,0.5,10,0.2,0.8745387453874539,0.8425991631795025
0.005,32,0.3,20,0.1,0.8671586715867159,0.8334578845394868
0.005,64,0.7,20,0.2,0.8708487084870848,0.8317214412093744
0.01,16,0.5,10,0.1,0.8634686346863468,0.8311652021323624
0.005,64,0.7,10,0.2,0.8708487084870848,0.8262534853812744
0.01,16,0.5,10,0.2,0.8671586715867159,0.8254620774280442
0.005,32,0.3,20,0.2,0.8634686346863468,0.8174002017413198
0.005,32,0.5,10,0.2,0.8597785977859779,0.8155314548215064
0.005,32,0.5,20,0.2,0.8523985239852399,0.804263614862693
0.005,64,0.7,10,0.1,0.8560885608856088,0.803975722556828
0.005,32,0.3,10,0.1,0.8523985239852399,0.8021391016416867
0.01,16,0.7,20,0.2,0.8376383763837638,0.7789148351648353
0.005,32,0.3,10,0.2,0.8523985239852399,0.7777336631858737
0.01,16,0.7,20,0.1,0.8339483394833949,0.7590883989529618
0.005,64,0.7,20,0.1,0.8376383763837638,0.7497379944687225
0.01,16,0.5,20,0.1,0.8339483394833949,0.7438440835057377
0.005,32,0.7,20,0.1,0.8228782287822878,0.7323184514469523
0.005,16,0.3,20,0.2,0.8154981549815498,0.7309810472703681
0.005,32,0.5,10,0.1,0.8265682656826568,0.729186277381766
0.005,32,0.5,20,0.1,0.8228782287822878,0.7290616415962207
0.01,16,0.7,10,0.1,0.8228782287822878,0.7224186956882096
0.005,16,0.3,10,0.2,0.8265682656826568,0.7201096111431379
0.005,16,0.3,20,0.1,0.7970479704797048,0.7166571825892543
0.005,32,0.7,20,0.2,0.8154981549815498,0.7165865747708667
0.005,32,0.7,10,0.1,0.8081180811808119,0.7134926437037146
0.005,16,0.3,10,0.1,0.8044280442804428,0.704648531637511
0.005,16,0.5,10,0.2,0.7896678966789668,0.6798665949982643
0.005,16,0.5,20,0.2,0.7859778597785978,0.6456946530826315
0.005,16,0.5,10,0.1,0.7785977859778598,0.6447282666608951
0.01,16,0.7,10,0.2,0.7785977859778598,0.6300234565849824
0.005,32,0.7,10,0.2,0.7712177121771218,0.622982755201015
0.005,16,0.5,20,0.1,0.7453874538745388,0.5729868188161326
0.005,16,0.7,20,0.1,0.7416974169741697,0.5680464666300385
0.005,16,0.7,10,0.2,0.7232472324723247,0.5552568725889959
0.005,16,0.7,20,0.2,0.7121771217712177,0.5358078469689102
0.005,16,0.7,10,0.1,0.6937269372693727,0.5281360198217702
0.001,64,0.3,10,0.2,0.5793357933579336,0.4115300351268825
0.001,64,0.3,10,0.1,0.5719557195571956,0.40248450749033166
0.001,64,0.3,20,0.2,0.5535055350553506,0.3841036796867662
0.001,64,0.5,20,0.2,0.5387453874538746,0.3637128918983469
0.001,64,0.5,10,0.2,0.5387453874538746,0.3572942437737094
0.001,64,0.5,10,0.1,0.5239852398523985,0.3243994853901974
0.001,32,0.7,20,0.1,0.5276752767527675,0.30257173735635984
0.001,32,0.3,20,0.2,0.5350553505535055,0.3001225072560528
0.001,16,0.5,20,0.1,0.5350553505535055,0.29380462016941067
0.001,64,0.3,20,0.1,0.5239852398523985,0.28678127830330563
0.001,32,0.7,10,0.2,0.42066420664206644,0.2760335529829871
0.001,64,0.7,10,0.2,0.47232472324723246,0.2735862075271142
0.001,64,0.5,20,0.1,0.47601476014760147,0.25915693199124656
0.001,64,0.7,10,0.1,0.46494464944649444,0.2555522984387554
0.001,32,0.5,10,0.1,0.44280442804428044,0.24676967561218038
0.001,32,0.5,20,0.2,0.45387453874538747,0.2442065588622124
0.001,16,0.7,20,0.2,0.4833948339483395,0.2392889497617661
0.001,64,0.7,20,0.1,0.44649446494464945,0.21423929204760533
0.001,32,0.3,20,0.1,0.43911439114391143,0.2089719421905308
0.001,16,0.7,10,0.1,0.47232472324723246,0.208848712986772
0.001,16,0.7,10,0.2,0.4575645756457565,0.2025764336380788
0.001,16,0.7,20,0.1,0.4317343173431734,0.20176775225575458
0.001,16,0.5,10,0.1,0.4575645756457565,0.20003626234155827
0.001,64,0.7,20,0.2,0.43911439114391143,0.1987613995662285
0.001,16,0.3,10,0.2,0.4280442804428044,0.19220779220779222
0.001,32,0.3,10,0.1,0.4095940959409594,0.18944928243529716
0.001,32,0.3,10,0.2,0.4022140221402214,0.1817937701396348
0.001,16,0.5,20,0.2,0.4354243542435424,0.1655567490153956
0.001,32,0.7,10,0.1,0.3837638376383764,0.16429735139412557
0.001,32,0.7,20,0.2,0.44280442804428044,0.16344246031746032
0.001,16,0.3,20,0.2,0.42066420664206644,0.1630307295331926
0.001,16,0.5,10,0.2,0.3985239852398524,0.16293436293436292
0.001,16,0.3,10,0.1,0.42435424354243545,0.15830789688416091
0.001,16,0.3,20,0.1,0.39114391143911437,0.1531442487882406
0.001,32,0.5,10,0.2,0.36900369003690037,0.12928248222365868
0.001,32,0.5,20,0.1,0.34317343173431736,0.09130813320757455
