lr,h_dim,dropout,layers,test_acc,test_f1
0.005,16,0.7,4,0.8892988929889298,0.8752970914012833
0.01,32,0.3,4,0.8819188191881919,0.8705981298804222
0.005,32,0.7,3,0.8819188191881919,0.8699561841479797
0.01,32,0.3,3,0.8856088560885609,0.8686947826461736
0.01,64,0.5,3,0.8819188191881919,0.8681861186270682
0.01,64,0.3,3,0.8782287822878229,0.8673724293939861
0.005,64,0.5,3,0.8856088560885609,0.8665504382359812
0.001,64,0.5,4,0.8782287822878229,0.8657125335529282
0.005,64,0.3,4,0.8782287822878229,0.8609488510851495
0.005,32,0.5,3,0.8708487084870848,0.8560404992626408
0.01,32,0.7,4,0.8708487084870848,0.8557280221910963
0.005,64,0.5,4,0.8708487084870848,0.8550035520537328
0.001,64,0.3,4,0.8745387453874539,0.8548994606594139
0.01,16,0.3,3,0.8708487084870848,0.8538944989492319
0.01,64,0.5,2,0.8671586715867159,0.8510459586057882
0.01,64,0.7,2,0.8671586715867159,0.8496553495515216
0.005,16,0.3,4,0.8634686346863468,0.8478370555410647
0.01,16,0.5,3,0.8597785977859779,0.847249002358227
0.01,16,0.5,4,0.8671586715867159,0.8465193864579125
0.005,32,0.3,4,0.8671586715867159,0.8460704262870147
0.01,32,0.7,2,0.8634686346863468,0.8460336895625638
0.005,32,0.3,3,0.8634686346863468,0.8445880289401523
0.005,16,0.7,3,0.8634686346863468,0.8444887414100257
0.005,64,0.3,3,0.8708487084870848,0.8440781465275604
0.001,32,0.5,4,0.8634686346863468,0.8428735570425451
0.01,64,0.3,4,0.8634686346863468,0.8417591183630642
0.005,64,0.5,2,0.8634686346863468,0.8412844665617494
0.005,32,0.7,2,0.8560885608856088,0.8408504823254933
0.005,16,0.3,2,0.8597785977859779,0.8406093871481478
0.005,32,0.7,4,0.8671586715867159,0.8395075239083388
0.005,32,0.3,2,0.8560885608856088,0.8394302303435793
0.01,16,0.7,2,0.8523985239852399,0.8374153454182294
0.005,64,0.7,3,0.8560885608856088,0.8370333269179303
0.01,16,0.7,3,0.8597785977859779,0.836425324248274
0.01,64,0.3,2,0.8560885608856088,0.834394398338551
0.005,32,0.5,2,0.8523985239852399,0.8338163073373961
0.01,64,0.7,3,0.8560885608856088,0.8328540315722724
0.005,16,0.5,2,0.8523985239852399,0.8303330227293362
0.01,64,0.7,4,0.8523985239852399,0.8299699442858904
0.005,64,0.7,2,0.8450184501845018,0.8296074932494749
0.01,32,0.5,2,0.8450184501845018,0.8270992393547509
0.01,64,0.5,4,0.8523985239852399,0.8270992051469522
0.01,32,0.3,2,0.8450184501845018,0.826499237676978
0.001,64,0.5,3,0.8523985239852399,0.8259315097815108
0.005,16,0.5,3,0.8523985239852399,0.8254085375583029
0.01,16,0.3,2,0.8560885608856088,0.8251148614620586
0.01,32,0.5,4,0.8560885608856088,0.8225210011709702
0.01,16,0.5,2,0.8450184501845018,0.8220794465034096
0.005,64,0.3,2,0.8487084870848709,0.8206021257364454
0.001,64,0.7,3,0.8487084870848709,0.8198314278213744
0.005,16,0.3,3,0.8413284132841329,0.8180098547856278
0.005,16,0.7,2,0.8339483394833949,0.8175116400670344
0.001,64,0.7,4,0.8413284132841329,0.8133607386685363
0.005,32,0.5,4,0.8413284132841329,0.8118754120318313
0.01,32,0.7,3,0.8339483394833949,0.8115040679817597
0.005,64,0.7,4,0.8376383763837638,0.8094944678542358
0.01,32,0.5,3,0.8376383763837638,0.8061322706080619
0.005,16,0.5,4,0.8376383763837638,0.8043737513661935
0.001,64,0.3,3,0.8339483394833949,0.8028352435741599
0.01,16,0.3,4,0.8265682656826568,0.7962097125516724
0.01,16,0.7,4,0.8191881918819188,0.7959380303808128
0.001,32,0.3,4,0.8118081180811808,0.7809595729614426
0.001,16,0.5,2,0.3173431734317343,0.1287820231129607
0.001,32,0.5,2,0.33579335793357934,0.11012777203904818
0.001,16,0.7,2,0.28044280442804426,0.09842508814408903
0.001,16,0.3,2,0.3284132841328413,0.08467689252397502
0.001,32,0.3,3,0.33210332103321033,0.0837172078133579
0.001,16,0.7,3,0.3173431734317343,0.08162505116659845
0.001,64,0.5,2,0.3247232472324723,0.07696629213483146
0.001,16,0.7,4,0.31365313653136534,0.07414581651869788
0.001,64,0.3,2,0.3247232472324723,0.0700358137684043
0.001,32,0.5,3,0.3247232472324723,0.0700358137684043
0.001,32,0.7,4,0.3247232472324723,0.0700358137684043
0.001,32,0.7,3,0.3247232472324723,0.0700358137684043
0.001,16,0.5,4,0.3247232472324723,0.0700358137684043
0.001,16,0.5,3,0.3247232472324723,0.0700358137684043
0.001,16,0.3,4,0.3247232472324723,0.0700358137684043
0.001,32,0.7,2,0.3173431734317343,0.0698051948051948
0.001,64,0.7,2,0.3210332103321033,0.06943335993615322
0.001,32,0.3,2,0.3173431734317343,0.06941081517352704
0.001,16,0.3,3,0.30996309963099633,0.06896551724137931
