lr,h_dim,dropout,layers,test_acc,test_f1
0.01,64,0.5,3,0.8892988929889298,0.8792766739448513
0.01,64,0.3,3,0.8819188191881919,0.8627857058284321
0.01,32,0.3,3,0.8892988929889298,0.8623535175683349
0.01,64,0.7,3,0.8745387453874539,0.8585630895805075
0.01,32,0.5,3,0.8745387453874539,0.8504987346128577
0.01,16,0.5,3,0.8745387453874539,0.847346240644249
0.01,64,0.7,2,0.8745387453874539,0.8467346290074512
0.005,64,0.7,4,0.8597785977859779,0.8434467355635045
0.01,32,0.3,4,0.8671586715867159,0.841811602674092
0.005,64,0.5,4,0.8708487084870848,0.8416235824242685
0.01,16,0.3,3,0.8671586715867159,0.841556511538751
0.01,64,0.5,2,0.8671586715867159,0.8410910782291596
0.005,64,0.3,3,0.8634686346863468,0.8389702064821732
0.01,32,0.3,2,0.8634686346863468,0.8383417847483514
0.01,64,0.5,4,0.8597785977859779,0.8372615929602774
0.01,64,0.3,2,0.8597785977859779,0.836577209688272
0.005,64,0.7,3,0.8597785977859779,0.8356188625534783
0.01,32,0.7,3,0.8597785977859779,0.8341061548750581
0.005,32,0.3,4,0.8671586715867159,0.8314674511097777
0.005,64,0.5,3,0.8597785977859779,0.8299493914048793
0.01,64,0.3,4,0.8487084870848709,0.8292121971059769
0.01,32,0.7,2,0.8597785977859779,0.8270616395480096
0.005,32,0.5,3,0.8597785977859779,0.8266671397180466
0.01,64,0.7,4,0.8634686346863468,0.8240810912713664
0.005,64,0.3,2,0.8450184501845018,0.8126635490400144
0.005,32,0.3,3,0.8450184501845018,0.8008475417265978
0.01,32,0.5,4,0.8191881918819188,0.7697204040350949
0.01,32,0.5,2,0.8118081180811808,0.7616679041413299
0.005,64,0.7,2,0.8118081180811808,0.7446329559687467
0.005,64,0.5,2,0.7970479704797048,0.7241800982435596
0.005,32,0.5,4,0.8007380073800738,0.6771863690364405
0.005,64,0.3,4,0.8044280442804428,0.6644425036992916
0.005,16,0.5,3,0.7601476014760148,0.644770188597886
0.005,32,0.7,4,0.7859778597785978,0.6268160860679565
0.005,32,0.5,2,0.7564575645756457,0.6244843711009125
0.005,32,0.3,2,0.7158671586715867,0.6099252105011183
0.01,16,0.3,4,0.7859778597785978,0.6052663239852648
0.01,32,0.7,4,0.7785977859778598,0.6005971751403233
0.01,16,0.5,2,0.7343173431734318,0.5639070330805174
0.01,16,0.7,3,0.7564575645756457,0.5613515911652558
0.005,32,0.7,2,0.7011070110701108,0.5579828289744703
0.005,16,0.7,3,0.7490774907749077,0.5573388220401438
0.01,16,0.3,2,0.7269372693726938,0.5570473005255614
0.005,16,0.3,3,0.7269372693726938,0.5476350160275543
0.005,16,0.5,4,0.7343173431734318,0.5448926052815506
0.01,16,0.5,4,0.7084870848708487,0.5415592516653497
0.005,32,0.7,3,0.7306273062730627,0.5414165905146555
0.01,16,0.7,4,0.7195571955719557,0.5374309266269536
0.01,16,0.7,2,0.6826568265682657,0.5334317903163844
0.005,16,0.3,2,0.6715867158671587,0.5273044814742872
0.005,16,0.5,2,0.5977859778597786,0.4551607178819249
0.005,16,0.3,4,0.6531365313653137,0.45509623408658484
0.001,64,0.3,4,0.6420664206642066,0.45467454966176196
0.001,64,0.5,4,0.6014760147601476,0.4383014430703466
0.001,64,0.3,3,0.5350553505535055,0.38141679760948327
0.005,16,0.7,2,0.5350553505535055,0.36064942348190954
0.001,64,0.5,3,0.43911439114391143,0.2773572513793107
0.001,32,0.5,3,0.36900369003690037,0.19306969618570768
0.001,32,0.5,4,0.3726937269372694,0.19189729191811958
0.001,64,0.7,4,0.4132841328413284,0.18988391376451078
0.001,32,0.3,2,0.34686346863468637,0.18853046594982079
0.001,32,0.3,3,0.36900369003690037,0.17586733345201683
0.001,16,0.5,2,0.28413284132841327,0.16934468643603912
0.001,32,0.3,4,0.3763837638376384,0.16372828623282346
0.001,64,0.7,3,0.35793357933579334,0.16330517014184948
0.005,16,0.7,4,0.34686346863468637,0.1542184737559053
0.001,16,0.3,2,0.33210332103321033,0.1512733456273087
0.001,32,0.7,4,0.30996309963099633,0.13693847136470086
0.001,32,0.5,2,0.1992619926199262,0.13158387661419785
0.001,32,0.7,3,0.2988929889298893,0.12881418715562346
0.001,32,0.7,2,0.26199261992619927,0.12258452582684665
0.001,64,0.7,2,0.25092250922509224,0.11063735777523731
0.001,64,0.5,2,0.2915129151291513,0.10926288323548597
0.001,64,0.3,2,0.2730627306273063,0.10821178821178822
0.001,16,0.7,3,0.2656826568265683,0.10615888651905274
0.001,16,0.7,2,0.21033210332103322,0.0946155825099332
0.001,16,0.3,4,0.2656826568265683,0.09424145833882143
0.001,16,0.5,3,0.2140221402214022,0.0855834136933462
0.001,16,0.3,3,0.23616236162361623,0.073454664699131
0.001,16,0.5,4,0.22509225092250923,0.07107114032053499
0.001,16,0.7,4,0.23616236162361623,0.05931890828620605
