lr,h_dim,dropout,layers,test_acc,test_f1
0.01,32,0.3,2,0.8874538745387454,0.878849031919211
0.01,32,0.7,3,0.8874538745387454,0.8741946904967687
0.01,64,0.5,3,0.8837638376383764,0.8730761153867327
0.01,32,0.5,2,0.8819188191881919,0.8725749422437963
0.005,32,0.5,4,0.8800738007380073,0.8723641381546907
0.005,32,0.7,4,0.8819188191881919,0.871115504898112
0.005,16,0.3,3,0.8800738007380073,0.8701624175891867
0.005,16,0.5,3,0.8819188191881919,0.8699638776292885
0.001,64,0.5,3,0.8856088560885609,0.8696459201971687
0.005,32,0.3,3,0.8782287822878229,0.8684894914055089
0.005,64,0.7,3,0.8782287822878229,0.8684124417124134
0.01,16,0.3,3,0.8782287822878229,0.8671861206095433
0.01,32,0.3,3,0.8745387453874539,0.8669456777417747
0.01,16,0.5,3,0.8782287822878229,0.8665633610329009
0.005,16,0.5,4,0.8745387453874539,0.8662166957671323
0.005,64,0.3,4,0.8745387453874539,0.8659145113957442
0.01,16,0.5,2,0.8726937269372693,0.8658179657288095
0.01,64,0.7,2,0.8763837638376384,0.86567149316258
0.005,64,0.3,2,0.8763837638376384,0.8654967679154052
0.01,64,0.5,4,0.8745387453874539,0.8654713526230216
0.01,64,0.7,3,0.8726937269372693,0.8646627276932465
0.005,16,0.5,2,0.8726937269372693,0.8637943806246069
0.01,16,0.7,3,0.8800738007380073,0.8632985854749553
0.01,64,0.7,4,0.8726937269372693,0.8613681096829152
0.005,64,0.5,2,0.8708487084870848,0.8612858906474788
0.01,32,0.5,3,0.8745387453874539,0.860890709909227
0.005,32,0.5,2,0.8726937269372693,0.8603342589609626
0.001,32,0.5,4,0.8745387453874539,0.8597099239878369
0.005,16,0.7,3,0.8782287822878229,0.8594973584150115
0.01,16,0.3,2,0.8708487084870848,0.8594794197897856
0.005,32,0.5,3,0.8708487084870848,0.8589709875963324
0.005,32,0.7,3,0.8726937269372693,0.8584979664247695
0.005,64,0.5,4,0.8745387453874539,0.8584511209972421
0.01,64,0.5,2,0.8708487084870848,0.8579465083569743
0.005,32,0.3,2,0.8690036900369004,0.8573258861397479
0.005,64,0.7,4,0.8708487084870848,0.8570475034552396
0.001,64,0.3,3,0.8708487084870848,0.8561723931640808
0.001,64,0.3,4,0.8653136531365314,0.8552979773580465
0.005,32,0.7,2,0.8690036900369004,0.8549122101045917
0.001,64,0.7,4,0.8726937269372693,0.8546512467664007
0.01,32,0.3,4,0.8579335793357934,0.8540818895569785
0.01,64,0.3,2,0.8653136531365314,0.8539047510756632
0.005,64,0.7,2,0.8690036900369004,0.8537338447260022
0.01,64,0.3,3,0.8671586715867159,0.8535292842479903
0.01,32,0.7,2,0.8690036900369004,0.853187092773094
0.005,16,0.3,4,0.8653136531365314,0.8524036555627851
0.005,64,0.5,3,0.8634686346863468,0.8519440557476824
0.01,16,0.3,4,0.8634686346863468,0.8504597708222902
0.005,16,0.3,2,0.8616236162361623,0.8500125392701612
0.001,64,0.5,4,0.8671586715867159,0.8492853569112114
0.01,16,0.5,4,0.8690036900369004,0.8487870160316715
0.01,16,0.7,4,0.8634686346863468,0.8482085388738484
0.01,64,0.3,4,0.8597785977859779,0.848086833360247
0.005,64,0.3,3,0.8597785977859779,0.8478001896541203
0.01,32,0.7,4,0.8653136531365314,0.8477015109094452
0.001,32,0.3,4,0.8597785977859779,0.8432802257113047
0.005,32,0.3,4,0.8560885608856088,0.8430051180752758
0.005,16,0.7,4,0.8616236162361623,0.84287810843947
0.01,32,0.5,4,0.8579335793357934,0.8415101754480323
0.01,16,0.7,2,0.8523985239852399,0.8330298845674191
0.001,16,0.5,2,0.2933579335793358,0.14096729883076847
0.001,16,0.3,2,0.2988929889298893,0.12322248912545408
0.001,16,0.7,2,0.2933579335793358,0.09640420445547912
0.001,32,0.7,2,0.3025830258302583,0.09632294990093156
0.001,32,0.3,2,0.2952029520295203,0.08397154737723274
0.001,32,0.5,2,0.2933579335793358,0.08379624475529789
0.001,16,0.3,3,0.2952029520295203,0.08146577160969568
0.001,16,0.5,3,0.2878228782287823,0.07525879917184265
0.001,16,0.7,4,0.2878228782287823,0.06685178210103097
0.001,64,0.7,2,0.2878228782287823,0.06673448989790819
0.001,16,0.3,4,0.2878228782287823,0.06673448989790819
0.001,64,0.5,2,0.2878228782287823,0.06654435173084013
0.001,32,0.3,3,0.2878228782287823,0.06385591485878019
0.001,32,0.5,3,0.2878228782287823,0.06385591485878019
0.001,16,0.7,3,0.2878228782287823,0.06385591485878019
0.001,32,0.7,3,0.2878228782287823,0.06385591485878019
0.001,32,0.7,4,0.2878228782287823,0.06385591485878019
0.001,64,0.3,2,0.2878228782287823,0.06385591485878019
0.001,16,0.5,4,0.2878228782287823,0.06385591485878019
0.005,16,0.7,2,0.2878228782287823,0.06385591485878019
0.001,64,0.7,3,0.2878228782287823,0.06385591485878019
