lr,h_dim,dropout,layers,test_acc,test_f1
0.01,64,0.3,3,0.8690036900369004,0.8570789639464216
0.01,32,0.3,3,0.8690036900369004,0.8522498015563131
0.01,64,0.5,3,0.8671586715867159,0.8521062219106738
0.01,32,0.5,3,0.8671586715867159,0.8517995632232541
0.005,64,0.3,3,0.8653136531365314,0.8517057442267465
0.01,16,0.5,3,0.8653136531365314,0.8496361388488879
0.01,64,0.5,2,0.8671586715867159,0.8472992760135561
0.005,64,0.7,3,0.8634686346863468,0.8450037155837301
0.01,64,0.7,3,0.8542435424354243,0.8427813841733239
0.01,64,0.7,2,0.8634686346863468,0.8425705558889552
0.005,64,0.5,3,0.8634686346863468,0.840502780927651
0.005,64,0.7,4,0.8597785977859779,0.8376177829997734
0.01,64,0.3,2,0.8597785977859779,0.8375272386509607
0.01,32,0.3,2,0.8579335793357934,0.8306945203783235
0.01,16,0.3,3,0.8579335793357934,0.8294688471717432
0.01,64,0.5,4,0.8431734317343174,0.8277444277226326
0.005,32,0.5,3,0.8579335793357934,0.8264109537790195
0.01,64,0.7,4,0.8450184501845018,0.8238578637646858
0.01,32,0.3,4,0.8413284132841329,0.8202153278021385
0.005,64,0.5,4,0.8394833948339483,0.8141356070528152
0.01,32,0.5,4,0.8357933579335793,0.8139390306626128
0.005,32,0.3,4,0.8376383763837638,0.8121875542339237
0.005,32,0.3,3,0.8431734317343174,0.812162094121639
0.01,64,0.3,4,0.8210332103321033,0.8021119326289833
0.01,32,0.7,2,0.8321033210332104,0.791434986273696
0.01,32,0.7,3,0.8376383763837638,0.788775649677026
0.01,32,0.5,2,0.8210332103321033,0.786359377606648
0.005,64,0.3,2,0.8173431734317343,0.7691274866512334
0.005,64,0.5,2,0.7896678966789668,0.7130651655196286
0.005,64,0.7,2,0.7878228782287823,0.711270061687369
0.005,64,0.3,4,0.8173431734317343,0.7083200569548864
0.01,32,0.7,4,0.7656826568265682,0.6541732101685115
0.005,32,0.5,4,0.7749077490774908,0.6519705725874132
0.01,16,0.3,4,0.7490774907749077,0.6193545588923952
0.005,32,0.3,2,0.7306273062730627,0.6110060031743562
0.01,16,0.3,2,0.7490774907749077,0.6025736562145728
0.005,32,0.7,4,0.7509225092250923,0.6014075947939984
0.005,32,0.5,2,0.7398523985239852,0.5974303864581324
0.005,32,0.7,2,0.7269372693726938,0.589558673690855
0.01,16,0.7,3,0.7324723247232472,0.5658265690584432
0.01,16,0.5,2,0.7158671586715867,0.5581440671718647
0.005,16,0.5,3,0.7084870848708487,0.5542324010356509
0.01,16,0.7,2,0.6826568265682657,0.5482981354424564
0.005,16,0.7,3,0.7250922509225092,0.5426245916308822
0.01,16,0.5,4,0.6992619926199262,0.5364981216278856
0.005,16,0.5,4,0.7066420664206642,0.5334717748891079
0.005,16,0.3,2,0.6715867158671587,0.5245142262209679
0.005,32,0.7,3,0.7029520295202952,0.5219725753623112
0.005,16,0.3,3,0.6752767527675276,0.5014075551328357
0.01,16,0.7,4,0.6789667896678967,0.5007315215547526
0.005,16,0.5,2,0.6309963099630996,0.49191718978304966
0.001,64,0.3,4,0.6678966789667896,0.4737497556017654
0.001,64,0.5,4,0.6346863468634686,0.45385210236161927
0.001,64,0.3,3,0.5738007380073801,0.38690042546075276
0.005,16,0.3,4,0.5811808118081181,0.34868398663192995
0.005,16,0.7,2,0.5313653136531366,0.34243497038437776
0.001,64,0.5,3,0.496309963099631,0.292182279452435
0.001,32,0.5,3,0.4225092250922509,0.2036930668765435
0.001,64,0.7,4,0.43911439114391143,0.19275472090177498
0.001,32,0.3,3,0.42988929889298894,0.1891027378693413
0.001,32,0.5,4,0.4261992619926199,0.18488920996677768
0.001,32,0.3,4,0.4059040590405904,0.17753899034197224
0.001,32,0.3,2,0.36162361623616235,0.16756783325787167
0.001,64,0.7,3,0.43911439114391143,0.1668995082587316
0.001,32,0.7,2,0.23985239852398524,0.16281802532216863
0.001,32,0.5,2,0.24354243542435425,0.15900595051733118
0.001,16,0.3,2,0.36900369003690037,0.15321776753458843
0.005,16,0.7,4,0.35239852398523985,0.14658250595732605
0.001,16,0.5,2,0.2564575645756458,0.13670759598502918
0.001,32,0.7,4,0.34686346863468637,0.12455599245735335
0.001,16,0.5,3,0.2859778597785978,0.11627155489696908
0.001,64,0.7,2,0.2859778597785978,0.11530020306561671
0.001,64,0.5,2,0.2656826568265683,0.11363121597663176
0.001,32,0.7,3,0.3376383763837638,0.11360866441867915
0.001,16,0.7,3,0.32287822878228783,0.10917741329660699
0.001,16,0.3,4,0.31365313653136534,0.10057525486217804
0.001,64,0.3,2,0.32287822878228783,0.09610949034615497
0.001,16,0.5,4,0.3025830258302583,0.08596484516955798
0.001,16,0.3,3,0.2896678966789668,0.08313198527036629
0.001,16,0.7,2,0.15313653136531366,0.08191832438647029
0.001,16,0.7,4,0.3044280442804428,0.06677458518818292
