lr,h_dim,dropout,layers,test_acc,test_f1
0.01,64,0.3,2,0.8966789667896679,0.8881215485152937
0.01,32,0.5,2,0.8985239852398524,0.8838616325130778
0.01,64,0.7,2,0.8966789667896679,0.8836614339703935
0.01,32,0.3,3,0.8874538745387454,0.8798079068333575
0.01,64,0.5,3,0.8874538745387454,0.8781331827286366
0.01,32,0.7,2,0.8837638376383764,0.8743416974865487
0.01,64,0.5,2,0.8856088560885609,0.871650429631479
0.01,64,0.5,4,0.8800738007380073,0.8690169637679246
0.01,64,0.7,3,0.8819188191881919,0.8643452616437324
0.01,64,0.7,4,0.8800738007380073,0.864280602505813
0.01,32,0.7,3,0.8856088560885609,0.8633709380711231
0.01,32,0.5,3,0.8800738007380073,0.8603902757446467
0.01,16,0.3,3,0.8726937269372693,0.858246840075335
0.01,64,0.3,3,0.8690036900369004,0.8534379751834373
0.01,32,0.3,4,0.8597785977859779,0.8469130262688219
0.01,64,0.3,4,0.8634686346863468,0.846143421771064
0.01,16,0.5,4,0.8542435424354243,0.8276049917334455
0.001,64,0.3,2,0.5738007380073801,0.3263006107922633
0.005,16,0.5,2,0.5276752767527675,0.27484934986588744
0.01,32,0.3,2,0.4981549815498155,0.27165165734776037
0.001,16,0.3,2,0.48154981549815495,0.2626303909853431
0.01,16,0.3,2,0.492619926199262,0.26065428824049514
0.005,32,0.3,3,0.4907749077490775,0.25488682762994436
0.01,16,0.5,2,0.45940959409594095,0.24999828040417382
0.01,16,0.7,2,0.4575645756457565,0.24445946224799323
0.001,64,0.3,3,0.46863468634686345,0.23738080291752608
0.005,16,0.5,3,0.4261992619926199,0.19626721508743958
0.001,64,0.7,2,0.4280442804428044,0.18633470450571019
0.005,32,0.5,2,0.4132841328413284,0.1847202699737262
0.001,64,0.5,2,0.42066420664206644,0.17265132461125973
0.005,64,0.5,2,0.45202952029520294,0.16957754888789373
0.001,64,0.7,3,0.4317343173431734,0.16521065904367613
0.005,64,0.3,2,0.35793357933579334,0.14663044691697988
0.005,16,0.7,3,0.35239852398523985,0.14324380756470836
0.001,16,0.5,3,0.3173431734317343,0.1399916130835896
0.005,32,0.3,2,0.2785977859778598,0.13477290912981713
0.005,32,0.7,2,0.3118081180811808,0.12820910271066246
0.001,32,0.5,3,0.16789667896678967,0.12027462982876995
0.001,32,0.7,2,0.30996309963099633,0.11405197871280721
0.001,32,0.3,2,0.2066420664206642,0.09902352404570681
0.005,64,0.7,3,0.1974169741697417,0.0885477542937546
0.005,16,0.3,3,0.2047970479704797,0.08460014937084621
0.005,64,0.7,2,0.3247232472324723,0.08373480442325454
0.001,16,0.7,4,0.3118081180811808,0.06987802356832748
0.001,32,0.3,3,0.3154981549815498,0.06852334201562812
0.001,32,0.5,4,0.3154981549815498,0.06852334201562812
0.001,32,0.7,4,0.3154981549815498,0.06852334201562812
0.001,16,0.3,4,0.3154981549815498,0.06852334201562812
0.001,64,0.5,4,0.3154981549815498,0.06852334201562812
0.001,64,0.5,3,0.3154981549815498,0.06852334201562812
0.005,64,0.7,4,0.3154981549815498,0.06852334201562812
0.001,64,0.3,4,0.3154981549815498,0.06852334201562812
0.005,32,0.5,3,0.3154981549815498,0.06852334201562812
0.005,64,0.5,4,0.3154981549815498,0.06852334201562812
0.005,64,0.5,3,0.3154981549815498,0.06852334201562812
0.01,16,0.3,4,0.3154981549815498,0.06852334201562812
0.01,16,0.5,3,0.3154981549815498,0.06852334201562812
0.01,16,0.7,3,0.3154981549815498,0.06852334201562812
0.01,16,0.7,4,0.3154981549815498,0.06852334201562812
0.01,32,0.5,4,0.3154981549815498,0.06852334201562812
0.01,32,0.7,4,0.3154981549815498,0.06852334201562812
0.005,16,0.3,2,0.3154981549815498,0.06852334201562812
0.005,16,0.3,4,0.3154981549815498,0.06852334201562812
0.005,16,0.5,4,0.3154981549815498,0.06852334201562812
0.005,16,0.7,2,0.3154981549815498,0.06852334201562812
0.005,16,0.7,4,0.3154981549815498,0.06852334201562812
0.005,32,0.3,4,0.3154981549815498,0.06852334201562812
0.005,32,0.5,4,0.3154981549815498,0.06852334201562812
0.005,32,0.7,3,0.3154981549815498,0.06852334201562812
0.005,32,0.7,4,0.3154981549815498,0.06852334201562812
0.005,64,0.3,3,0.3154981549815498,0.06852334201562812
0.005,64,0.3,4,0.3154981549815498,0.06852334201562812
0.001,64,0.7,4,0.3154981549815498,0.06852334201562812
0.001,32,0.5,2,0.16974169741697417,0.04146011716989635
0.001,16,0.7,3,0.16974169741697417,0.04146011716989635
0.001,16,0.5,2,0.14022140221402213,0.035136384650947754
0.001,32,0.3,4,0.1033210332103321,0.026755852842809364
0.001,16,0.5,4,0.07749077490774908,0.02054794520547945
0.001,32,0.7,3,0.04981549815498155,0.013557619884509164
0.001,16,0.7,2,0.04981549815498155,0.013557619884509164
0.001,16,0.3,3,0.04981549815498155,0.013557619884509164
